,Symbol,Name
0,BTC-USD,Bitcoin USD
1,ETH-USD,Ethereum USD
2,USDT-USD,Tether USD
3,USDC-USD,USD Coin USD
4,BNB-USD,BNB USD
5,XRP-USD,XRP USD
6,BUSD-USD,Binance USD USD
7,ADA-USD,Cardano USD
8,SOL-USD,Solana USD
9,DOGE-USD,Dogecoin USD
10,MATIC-USD,Polygon USD
11,DOT-USD,Polkadot USD
12,DAI-USD,Dai USD
13,WTRX-USD,Wrapped TRON USD
14,TRX-USD,TRON USD
15,SHIB-USD,Shiba Inu USD
16,HEX-USD,HEX USD
17,UNI1-USD,Uniswap USD
18,WBTC-USD,Wrapped Bitcoin USD
19,UNI7083-USD,Uniswap USD
20,AVAX-USD,Avalanche USD
21,STETH-USD,Lido Staked ETH USD
22,YOUC-USD,yOUcash USD
23,LEO-USD,UNUS SED LEO USD
24,LTC-USD,Litecoin USD
25,LINK-USD,Chainlink USD
26,ATOM-USD,Cosmos USD
27,ETC-USD,Ethereum Classic USD
28,FTT-USD,FTX Token USD
29,XLM-USD,Stellar USD
30,CRO-USD,Cronos USD
31,XMR-USD,Monero USD
32,NEAR-USD,NEAR Protocol USD
33,ALGO-USD,Algorand USD
34,QNT-USD,Quant USD
35,BCH-USD,Bitcoin Cash USD
36,BTCB-USD,Bitcoin BEP2 USD
37,VET-USD,VeChain USD
38,LUNA1-USD,Terra Classic USD
39,LUNC-USD,Terra Classic USD
40,FLOW-USD,Flow USD
41,APE3-USD,ApeCoin USD
42,FIL-USD,Filecoin USD
43,TONCOIN-USD,Toncoin USD
44,TON11419-USD,Toncoin USD
45,XCN1-USD,Chain USD
46,XCN18679-USD,Chain USD
47,HBAR-USD,Hedera USD
48,APE18876-USD,ApeCoin USD
49,FRAX-USD,Frax USD
50,ICP-USD,Internet Computer USD
51,EGLD-USD,Elrond USD
52,XTZ-USD,Tezos USD
53,MANA-USD,Decentraland USD
54,SAND-USD,The Sandbox USD
55,WBNB-USD,Wrapped BNB USD
56,HT-USD,Huobi Token USD
57,CHZ-USD,Chiliz USD
58,EOS-USD,EOS USD
59,AAVE-USD,Aave USD
60,THETA-USD,Theta Network USD
61,OKB-USD,OKB USD
62,MKR-USD,Maker USD
63,KCS-USD,KuCoin Token USD
64,USDP-USD,Pax Dollar USD
65,BSV-USD,Bitcoin SV USD
66,BIT11221-USD,BitDAO USD
67,AXS-USD,Axie Infinity USD
68,BIT1-USD,BitDAO USD
69,TUSD-USD,TrueUSD USD
70,ZEC-USD,Zcash USD
71,BTTOLD-USD,BitTorrent USD
72,USDD-USD,USDD USD
73,ETHW-USD,EthereumPoW USD
74,HBTC-USD,Huobi BTC USD
75,BTT-USD,BitTorrent-New USD
76,BTT2-USD,BitTorrent-New USD
77,XEC-USD,eCash USD
78,MIOTA-USD,IOTA USD
79,USDN-USD,Neutrino USD USD
80,CAKE-USD,PancakeSwap USD
81,GRT1-USD,The Graph USD
82,GRT6719-USD,The Graph USD
83,HNT-USD,Helium USD
84,NEO-USD,Neo USD
85,PAXG-USD,PAX Gold USD
86,FTM-USD,Fantom USD
87,SNX-USD,Synthetix USD
88,NEXO-USD,Nexo USD
89,RUNE-USD,THORChain USD
90,GT-USD,GateToken USD
91,DASH-USD,Dash USD
92,CSPR-USD,Casper USD
93,KLAY-USD,Klaytn USD
94,CRV-USD,Curve DAO Token USD
95,BAT-USD,Basic Attention Token USD
96,ENJ-USD,Enjin Coin USD
97,TWT-USD,Trust Wallet Token USD
98,FEI-USD,Fei USD USD
99,LDO-USD,Lido DAO USD
100,ZIL-USD,Zilliqa USD
101,UST-USD,TerraClassicUSD USD
102,COMP1-USD,Compound USD
103,XAUT-USD,Tether Gold USD
104,STX4847-USD,Stacks USD
105,COMP5692-USD,Compound USD
106,WAVES-USD,Waves USD
107,ENS-USD,Ethereum Name Service USD
108,XDC-USD,XDC Network USD
109,KAVA-USD,Kava USD
110,USTC-USD,TerraClassicUSD USD
111,MV-USD,GensoKishi Metaverse USD
112,MINA-USD,Mina USD
113,GMT3-USD,STEPN USD
114,DCR-USD,Decred USD
115,RVN-USD,Ravencoin USD
116,CVX-USD,Convex Finance USD
117,HOT1-USD,Holo USD
118,1INCH-USD,1inch Network USD
119,XEM-USD,NEM USD
120,CELO-USD,Celo USD
121,GMT18069-USD,STEPN USD
122,LRC-USD,Loopring USD
123,HOT2682-USD,Holo USD
124,AR-USD,Arweave USD
125,LUNA20314-USD,Terra USD
126,OSMO-USD,Osmosis USD
127,KSM-USD,Kusama USD
128,CCXX-USD,Counos X USD
129,DFI-USD,DeFiChain USD
130,GMX1-USD,GMX USD
131,BTG-USD,Bitcoin Gold USD
132,GUSD-USD,Gemini Dollar USD
133,LUNA2-USD,Terra USD
134,GMX11857-USD,GMX USD
135,BNX-USD,BinaryX USD
136,YFI-USD,yearn.finance USD
137,ROSE-USD,Oasis Network USD
138,GNO-USD,Gnosis USD
139,QTUM-USD,Qtum USD
140,NXM-USD,NXM USD
141,ANKR-USD,Ankr USD
142,KDA-USD,Kadena USD
143,RSR-USD,Reserve Rights USD
144,GALA-USD,Gala USD
145,TFUEL-USD,Theta Fuel USD
146,IOTX-USD,IoTeX USD
147,BTRST-USD,Braintrust USD
148,GLM-USD,Golem USD
149,FRTS-USD,Fruits USD
150,CEL-USD,Celsius USD
151,JST-USD,JUST USD
152,T-USD,Threshold USD
153,ONE1-USD,Harmony USD
154,WEMIX-USD,WEMIX USD
155,POLY-USD,Polymath USD
156,ONE3945-USD,Harmony USD
157,RPL-USD,Rocket Pool USD
158,OMG-USD,OMG Network USD
159,BAL-USD,Balancer USD
160,HUSD-USD,HUSD USD
161,HIVE-USD,Hive USD
162,LPT-USD,Livepeer USD
163,BRISE-USD,Bitgert USD
164,ZRX-USD,0x USD
165,IOST-USD,IOST USD
166,AMP-USD,Amp USD
167,FLUX-USD,Flux USD
168,BORA-USD,BORA USD
169,GLMR-USD,Moonbeam USD
170,XYM-USD,Symbol USD
171,ICX-USD,ICON USD
172,SRM-USD,Serum USD
173,WOO-USD,WOO Network USD
174,CHSB-USD,SwissBorg USD
175,SUSHI-USD,SushiSwap USD
176,ONT-USD,Ontology USD
177,WAXP-USD,WAX USD
178,OP1-USD,Optimism USD
179,LN-USD,LINK USD
180,LUSD-USD,Liquity USD USD
181,STORJ-USD,Storj USD
182,XCH-USD,Chia USD
183,SC-USD,Siacoin USD
